"","Yr","Mn","station","CO2_concentration","hemisphere"
"363",1964,"Apr","ker",NA,"southern"
"364",1964,"Apr","nzd",NA,"southern"
"365",1964,"May","alt",NA,"northern"
"366",1964,"May","mlo",322.34,"northern"
"367",1964,"May","kum",NA,"northern"
"368",1964,"May","chr",NA,"northern"
"369",1964,"May","sam",NA,"southern"
"370",1964,"May","ker",NA,"southern"
"371",1964,"May","nzd",NA,"southern"
"372",1964,"Jun","alt",NA,"northern"
"373",1964,"Jun","mlo",321.53,"northern"
"374",1964,"Jun","kum",NA,"northern"
"375",1964,"Jun","chr",NA,"northern"
"376",1964,"Jun","sam",NA,"southern"
"377",1964,"Jun","ker",NA,"southern"
"378",1964,"Jun","nzd",NA,"southern"
"379",1964,"Jul","alt",NA,"northern"
"380",1964,"Jul","mlo",319.91,"northern"
"381",1964,"Jul","kum",NA,"northern"
"382",1964,"Jul","chr",NA,"northern"
"383",1964,"Jul","sam",NA,"southern"
"384",1964,"Jul","ker",NA,"southern"
"385",1964,"Jul","nzd",NA,"southern"
"386",1964,"Aug","alt",NA,"northern"
"387",1964,"Aug","mlo",317.85,"northern"
"388",1964,"Aug","kum",NA,"northern"
"389",1964,"Aug","chr",NA,"northern"
"390",1964,"Aug","sam",NA,"southern"
"391",1964,"Aug","ker",NA,"southern"
"392",1964,"Aug","nzd",NA,"southern"
"393",1964,"Sep","alt",NA,"northern"
"394",1964,"Sep","mlo",316.36,"northern"
"395",1964,"Sep","kum",NA,"northern"
"396",1964,"Sep","chr",NA,"northern"
"397",1964,"Sep","sam",NA,"southern"
"398",1964,"Sep","ker",NA,"southern"
"399",1964,"Sep","nzd",NA,"southern"
"400",1964,"Oct","alt",NA,"northern"
"401",1964,"Oct","mlo",316.52,"northern"
"402",1964,"Oct","kum",NA,"northern"
"403",1964,"Oct","chr",NA,"northern"
"404",1964,"Oct","sam",NA,"southern"
"405",1964,"Oct","ker",NA,"southern"
"406",1964,"Oct","nzd",NA,"southern"
"407",1964,"Nov","alt",NA,"northern"
"408",1964,"Nov","mlo",317.82,"northern"
"409",1964,"Nov","kum",NA,"northern"
"410",1964,"Nov","chr",NA,"northern"
"411",1964,"Nov","sam",NA,"southern"
"412",1964,"Nov","ker",NA,"southern"
"413",1964,"Nov","nzd",NA,"southern"
"414",1964,"Dec","alt",NA,"northern"
"415",1964,"Dec","mlo",319.02,"northern"
"416",1964,"Dec","kum",NA,"northern"
"417",1964,"Dec","chr",NA,"northern"
"418",1964,"Dec","sam",NA,"southern"
"419",1964,"Dec","ker",NA,"southern"
"420",1964,"Dec","nzd",NA,"southern"
"421",1965,"Jan","alt",NA,"northern"
"422",1965,"Jan","mlo",319.92,"northern"
"423",1965,"Jan","kum",NA,"northern"
"424",1965,"Jan","chr",NA,"northern"
"425",1965,"Jan","sam",NA,"southern"
"426",1965,"Jan","ker",NA,"southern"
"427",1965,"Jan","nzd",NA,"southern"
"428",1965,"Feb","alt",NA,"northern"
"429",1965,"Feb","mlo",320.43,"northern"
"430",1965,"Feb","kum",NA,"northern"
"431",1965,"Feb","chr",NA,"northern"
"432",1965,"Feb","sam",NA,"southern"
"433",1965,"Feb","ker",NA,"southern"
"434",1965,"Feb","nzd",NA,"southern"
"435",1965,"Mar","alt",NA,"northern"
"436",1965,"Mar","mlo",321.21,"northern"
"437",1965,"Mar","kum",NA,"northern"
"438",1965,"Mar","chr",NA,"northern"
"439",1965,"Mar","sam",NA,"southern"
"440",1965,"Mar","ker",NA,"southern"
"441",1965,"Mar","nzd",NA,"southern"
"442",1965,"Apr","alt",NA,"northern"
"443",1965,"Apr","mlo",322.61,"northern"
"444",1965,"Apr","kum",NA,"northern"
"445",1965,"Apr","chr",NA,"northern"
"446",1965,"Apr","sam",NA,"southern"
"447",1965,"Apr","ker",NA,"southern"
"448",1965,"Apr","nzd",NA,"southern"
"449",1965,"May","alt",NA,"northern"
"450",1965,"May","mlo",322.92,"northern"
"451",1965,"May","kum",NA,"northern"
"452",1965,"May","chr",NA,"northern"
"453",1965,"May","sam",NA,"southern"
"454",1965,"May","ker",NA,"southern"
"455",1965,"May","nzd",NA,"southern"
"456",1965,"Jun","alt",NA,"northern"
